package,original_bytes,stripped_bytes,reduction_pct
express,1586299,704973,60.0
react,2735054,1133304,60.0
next,56540514,19394975,70.0
typescript,8494817,1520307,90.0
webpack,13210262,4020418,70.0
eslint,3237980,1152511,70.0
prettier,215283,71957,70.0
lodash,68483,34065,60.0
axios,632525,170285,80.0
zod,1012233,269224,80.0
esbuild,3211720,1324351,60.0
vite,10670644,3898924,70.0
tailwindcss,4605905,1990054,60.0
prisma,104346819,32878134,70.0
jest,31014907,11523763,70.0
vitest,13552759,4978430,70.0
fastify,3236481,924110,80.0
commander,135810,39221,80.0
dotenv,106371,29932,80.0
chalk,47872,16365,70.0
